    Updating crates.io index
  Downloaded shlex v1.3.0
  Downloaded serde_urlencoded v0.7.1
  Downloaded proc-macro2 v1.0.106
  Downloaded aws-smithy-runtime v1.10.2
  Downloaded subtle v2.6.1
  Downloaded strsim v0.11.1
  Downloaded stable_deref_trait v1.2.1
  Downloaded sha2 v0.10.9
  Downloaded secrecy v0.8.0
  Downloaded pretty_assertions v1.4.1
  Downloaded ppv-lite86 v0.2.21
  Downloaded serde_spanned v1.1.1
  Downloaded utoipa-swagger-ui-vendored v0.1.2
  Downloaded serde_derive_internals v0.29.1
  Downloaded pin-project v1.1.13
  Downloaded oid-registry v0.8.1
  Downloaded num-complex v0.4.6
  Downloaded ntp-udp v0.3.7
  Downloaded signature v1.6.4
  Downloaded sha1 v0.10.6
  Downloaded num-conv v0.2.0
  Downloaded nu-ansi-term v0.50.3
  Downloaded secrecy v0.10.3
  Downloaded rustls-pemfile v1.0.4
  Downloaded rust-embed-utils v8.12.0
  Downloaded mime_guess v2.0.5
  Downloaded memchr v2.7.6
  Downloaded schemars_derive v0.8.22
  Downloaded p256 v0.13.2
  Downloaded p256 v0.11.1
  Downloaded ntp-proto v0.3.7
  Downloaded matchit v0.7.3
  Downloaded crypto-bigint v0.5.5
  Downloaded rand_chacha v0.3.1
  Downloaded rustls-native-certs v0.6.3
  Downloaded lru v0.16.4
  Downloaded indexmap v2.13.0
  Downloaded group v0.12.1
  Downloaded futures-executor v0.3.31
  Downloaded aws-smithy-http-client v1.1.11
  Downloaded prost-derive v0.13.5
  Downloaded prost v0.13.5
  Downloaded aws-smithy-types v1.4.5
  Downloaded aws-runtime v1.7.1
  Downloaded asn1-rs v0.7.2
  Downloaded same-file v1.0.6
  Downloaded rand_core v0.9.5
  Downloaded rand_core v0.6.4
  Downloaded rand_chacha v0.9.0
  Downloaded group v0.13.0
  Downloaded hyper-rustls v0.24.2
  Downloaded rustc-hash v2.1.1
  Downloaded rust-embed-impl v8.12.0
  Downloaded quote v1.0.44
  Downloaded num-traits v0.2.19
  Downloaded fs-err v3.3.1
  Downloaded find-msvc-tools v0.1.9
  Downloaded bumpalo v3.19.1
  Downloaded base64 v0.21.7
  Downloaded ntp-daemon v0.3.7
  Downloaded either v1.16.0
  Downloaded aws-smithy-runtime-api v1.11.5
  Downloaded pkcs8 v0.9.0
  Downloaded pin-project-lite v0.2.16
  Downloaded once_cell v1.21.3
  Downloaded futures-sink v0.3.31
  Downloaded ed25519 v3.0.0
  Downloaded digest v0.10.7
  Downloaded cc v1.2.55
  Downloaded aws-sdk-sso v1.95.0
  Downloaded phf_macros v0.11.3
  Downloaded phf v0.11.3
  Downloaded arc-swap v1.9.1
  Downloaded phf_shared v0.11.3
  Downloaded option-ext v0.2.0
  Downloaded bytes v1.11.0
  Downloaded outref v0.5.2
  Downloaded openssl-probe v0.2.1
  Downloaded pem-rfc7468 v0.7.0
  Downloaded pem v3.0.6
  Downloaded num-rational v0.4.2
  Downloaded base64 v0.22.1
  Downloaded aws-sdk-ssooidc v1.97.0
  Downloaded ed25519 v2.2.3
  Downloaded digest v0.11.3
  Downloaded fixedbitset v0.5.7
  Downloaded deranged v0.5.5
  Downloaded clap_derive v4.5.49
  Downloaded aws-smithy-json v0.62.4
  Downloaded anyhow v1.0.100
  Downloaded phf_shared v0.12.1
  Downloaded phf_generator v0.11.3
  Downloaded fs_extra v1.3.0
  Downloaded foldhash v0.2.0
  Downloaded ff v0.13.1
  Downloaded displaydoc v0.2.5
  Downloaded ecdsa v0.16.9
  Downloaded bitflags v2.12.1
  Downloaded aws-sigv4 v1.4.1
  Downloaded num-integer v0.1.46
  Downloaded litemap v0.8.1
  Downloaded clap v4.5.54
  Downloaded ciborium v0.2.2
  Downloaded camino v1.2.2
  Downloaded httpdate v1.0.3
  Downloaded ascii v1.1.0
  Downloaded num-iter v0.1.45
  Downloaded mime_guess2 v2.3.1
  Downloaded mime v0.3.17
  Downloaded aws-smithy-protocol-test v0.63.13
  Downloaded num-cmp v0.1.0
  Downloaded ntp-os-clock v0.3.7
  Downloaded http-serde v2.1.1
  Downloaded axum-server v0.8.0
  Downloaded axum-core v0.5.6
  Downloaded aws-smithy-eventstream v0.60.19
  Downloaded lock_api v0.4.14
  Downloaded generic-array v0.14.7
  Downloaded futures-io v0.3.31
  Downloaded ipnet v2.11.0
  Downloaded http-body v0.4.6
  Downloaded dyn-clone v1.0.20
  Downloaded cargo_metadata v0.23.1
  Downloaded bit-vec v0.9.1
  Downloaded arrayvec v0.7.8
  Downloaded futures-core v0.3.31
  Downloaded errno v0.3.14
  Downloaded aws-credential-types v1.2.13
  Downloaded bytes-utils v0.1.4
  Downloaded base16ct v0.1.1
  Downloaded aws-smithy-xml v0.60.15
  Downloaded aws-smithy-http v0.63.5
  Downloaded fs2 v0.4.3
  Downloaded base64ct v1.8.3
  Downloaded itoa v1.0.17
  Downloaded dirs v5.0.1
  Downloaded cbor-diag v0.1.12
  Downloaded bit-vec v0.6.3
  Downloaded asn1-rs-impl v0.2.0
  Downloaded clap_lex v0.7.7
  Downloaded aws-types v1.3.13
  Downloaded aws-smithy-observability v0.2.5
  Downloaded idna_adapter v1.2.1
  Downloaded aws-sdk-ec2 v1.215.0
  Downloaded equivalent v1.0.2
  Downloaded deadpool v0.13.0
  Downloaded fnv v1.0.7
  Downloaded dbl v0.3.2
  Downloaded block-buffer v0.10.4
  Downloaded aws-smithy-query v0.60.14
  Downloaded cipher v0.4.4
  Downloaded chunked_transfer v1.5.0
  Downloaded cargo-platform v0.3.3
  Downloaded byteorder v1.5.0
  Downloaded bytecount v0.6.9
  Downloaded asn1-rs-derive v0.6.0
  Downloaded dirs-sys v0.4.1
  Downloaded colorchoice v1.0.4
  Downloaded bs58 v0.5.1
  Downloaded deadpool-runtime v0.3.1
  Downloaded curve25519-dalek-derive v0.1.1
  Downloaded const-oid v0.9.6
  Downloaded ciborium-ll v0.2.2
  Downloaded ciborium-io v0.2.2
  Downloaded base16ct v0.2.0
  Downloaded arrayref v0.3.9
  Downloaded data-encoding v2.11.0
  Downloaded const-oid v0.10.2
  Downloaded cfg-if v1.0.4
  Downloaded block-buffer v0.12.1
  Downloaded base64-simd v0.8.0
  Downloaded atomic-waker v1.1.2
  Downloaded assert-json-diff v2.0.2
  Downloaded autocfg v1.5.0
  Downloaded aws-smithy-async v1.2.14
  Downloaded crypto-common v0.2.2
  Downloaded clap_builder v4.5.54
  Downloaded async-trait v0.1.89
  Downloaded aes v0.8.4
  Downloaded aho-corasick v1.1.4
  Downloaded cpufeatures v0.2.17
  Downloaded anstyle-parse v0.2.7
  Downloaded ahash v0.8.12
  Downloaded crypto-common v0.1.7
  Downloaded cmac v0.7.2
  Downloaded allocator-api2 v0.2.21
  Downloaded aes-siv v0.7.0
  Downloaded anstream v0.6.21
  Downloaded aws-lc-sys v0.42.0
   Compiling proc-macro2 v1.0.106
   Compiling unicode-ident v1.0.22
   Compiling quote v1.0.44
   Compiling libc v0.2.180
   Compiling cfg-if v1.0.4
   Compiling serde_core v1.0.228
   Compiling memchr v2.7.6
   Compiling itoa v1.0.17
   Compiling typenum v1.20.1
   Compiling subtle v2.6.1
   Compiling version_check v0.9.5
   Compiling bytes v1.11.0
   Compiling pin-project-lite v0.2.16
   Compiling smallvec v1.15.1
   Compiling parking_lot_core v0.9.12
   Compiling const-oid v0.9.6
   Compiling log v0.4.29
   Compiling scopeguard v1.2.0
   Compiling futures-core v0.3.31
   Compiling lock_api v0.4.14
   Compiling once_cell v1.21.3
   Compiling futures-sink v0.3.31
   Compiling slab v0.4.11
   Compiling autocfg v1.5.0
   Compiling futures-channel v0.3.31
   Compiling pin-utils v0.1.0
   Compiling futures-task v0.3.31
   Compiling futures-io v0.3.31
   Compiling generic-array v0.14.7
   Compiling tracing-core v0.1.36
   Compiling shlex v1.3.0
   Compiling find-msvc-tools v0.1.9
   Compiling libm v0.2.16
   Compiling equivalent v1.0.2
   Compiling fnv v1.0.7
   Compiling foldhash v0.2.0
   Compiling allocator-api2 v0.2.21
   Compiling time-core v0.1.8
   Compiling num-conv v0.2.0
   Compiling powerfmt v0.2.0
   Compiling num_threads v0.1.7
   Compiling httparse v1.10.1
   Compiling untrusted v0.9.0
   Compiling num-traits v0.2.19
   Compiling http v1.4.0
   Compiling time-macros v0.2.27
   Compiling ryu v1.0.22
   Compiling cpufeatures v0.2.17
   Compiling hashbrown v0.16.1
   Compiling base64ct v1.8.3
   Compiling tower-service v0.3.3
   Compiling percent-encoding v2.3.2
   Compiling serde v1.0.228
   Compiling try-lock v0.2.5
   Compiling httpdate v1.0.3
   Compiling want v0.3.1
   Compiling pkg-config v0.3.33
   Compiling fs_extra v1.3.0
   Compiling dunce v1.0.5
   Compiling http v0.2.12
   Compiling base64 v0.22.1
   Compiling ipnet v2.11.0
   Compiling atomic-waker v1.1.2
   Compiling either v1.16.0
   Compiling aws-lc-rs v1.17.1
   Compiling form_urlencoded v1.2.2
   Compiling syn v2.0.114
   Compiling sync_wrapper v1.0.2
   Compiling getrandom v0.3.4
   Compiling tower-layer v0.3.3
   Compiling vsimd v0.8.0
   Compiling outref v0.5.2
   Compiling http-body v1.0.1
   Compiling crc32fast v1.5.0
   Compiling rustls v0.23.36
   Compiling stable_deref_trait v1.2.1
   Compiling http-body-util v0.1.3
   Compiling bytes-utils v0.1.4
   Compiling rustls v0.21.12
   Compiling zerocopy v0.8.33
   Compiling getrandom v0.2.17
   Compiling errno v0.3.14
   Compiling mio v1.1.1
   Compiling socket2 v0.6.2
   Compiling rand_core v0.6.4
   Compiling signal-hook-registry v1.4.8
   Compiling jobserver v0.1.34
   Compiling parking_lot v0.12.5
   Compiling http-body v0.4.6
   Compiling base64-simd v0.8.0
   Compiling cc v1.2.55
   Compiling zmij v1.0.16
   Compiling openssl-probe v0.2.1
   Compiling writeable v0.6.2
   Compiling litemap v0.8.1
   Compiling socket2 v0.5.10
   Compiling icu_normalizer_data v2.1.1
   Compiling ff v0.12.1
   Compiling icu_properties_data v2.1.2
   Compiling base16ct v0.1.1
   Compiling thiserror v2.0.18
   Compiling serde_json v1.0.149
   Compiling uuid v1.20.0
   Compiling group v0.12.1
   Compiling hex v0.4.3
   Compiling fastrand v2.4.1
   Compiling utf8_iter v1.0.4
   Compiling pem-rfc7468 v0.7.0
   Compiling regex-lite v0.1.9
   Compiling num-integer v0.1.46
   Compiling aho-corasick v1.1.4
   Compiling regex-syntax v0.8.8
   Compiling spin v0.9.8
   Compiling unicase v2.9.0
   Compiling mime v0.3.17
   Compiling lazy_static v1.5.0
   Compiling hybrid-array v0.4.14
   Compiling thiserror v1.0.69
   Compiling const-oid v0.10.2
   Compiling num-bigint v0.4.6
   Compiling cpufeatures v0.3.0
   Compiling data-encoding v2.11.0
   Compiling rustversion v1.0.22
   Compiling rand_core v0.9.5
   Compiling ff v0.13.1
   Compiling base16ct v0.2.0
   Compiling cmake v0.1.58
   Compiling anyhow v1.0.100
   Compiling siphasher v1.0.2
   Compiling indexmap v2.13.0
   Compiling deranged v0.5.5
   Compiling crypto-common v0.2.2
   Compiling block-buffer v0.12.1
   Compiling semver v1.0.27
   Compiling group v0.13.0
   Compiling mime_guess v2.0.5
   Compiling rustc_version v0.4.1
   Compiling num-iter v0.1.45
   Compiling ppv-lite86 v0.2.21
   Compiling same-file v1.0.6
   Compiling aws-types v1.3.13
   Compiling minimal-lexical v0.2.1
   Compiling ring v0.17.14
   Compiling aws-lc-sys v0.42.0
   Compiling heck v0.5.0
   Compiling bumpalo v3.19.1
   Compiling simd-adler32 v0.3.10
   Compiling zlib-rs v0.6.7
   Compiling rand_chacha v0.3.1
   Compiling rand_chacha v0.9.0
   Compiling digest v0.11.3
   Compiling zopfli v0.8.3
   Compiling nom v7.1.3
   Compiling rand v0.8.5
   Compiling regex-automata v0.4.13
   Compiling time v0.3.47
   Compiling sha2 v0.11.0
   Compiling rand v0.9.2
   Compiling walkdir v2.5.0
   Compiling synstructure v0.13.2
   Compiling serde_path_to_error v0.1.20
   Compiling urlencoding v2.1.3
   Compiling xmlparser v0.13.6
   Compiling utf8parse v0.2.2
   Compiling camino v1.2.2
   Compiling iana-time-zone v0.1.65
   Compiling aws-smithy-xml v0.60.15
   Compiling anstyle-parse v0.2.7
   Compiling rust-embed-utils v8.12.0
   Compiling curve25519-dalek v4.1.3
   Compiling curve25519-dalek v5.0.0
   Compiling fs-err v3.3.1
   Compiling anstyle v1.0.13
   Compiling utoipa-swagger-ui-vendored v0.1.2
   Compiling anstyle-query v1.1.5
   Compiling num-bigint-dig v0.8.6
   Compiling rusticata-macros v4.1.0
   Compiling colorchoice v1.0.4
   Compiling base64 v0.21.7
   Compiling is_terminal_polyfill v1.70.2
   Compiling anstream v0.6.21
   Compiling serde_derive_internals v0.29.1
   Compiling arc-swap v1.9.1
   Compiling blake3 v1.8.5
   Compiling itertools v0.14.0
   Compiling cargo-platform v0.3.3
   Compiling phf_shared v0.11.3
   Compiling sharded-slab v0.1.7
   Compiling pem v3.0.6
   Compiling tracing-log v0.2.0
   Compiling thread_local v1.1.9
   Compiling matchit v0.8.4
   Compiling nu-ansi-term v0.50.3
   Compiling strsim v0.11.1
   Compiling oid-registry v0.8.1
   Compiling signature v3.0.0
   Compiling schemars v0.8.22
   Compiling clap_lex v0.7.7
   Compiling bitflags v2.12.1
   Compiling redb v4.1.0
   Compiling regex v1.12.2
   Compiling winnow v1.0.4
   Compiling iri-string v0.7.10
   Compiling zeroize_derive v1.4.3
   Compiling tokio-macros v2.6.1
   Compiling futures-macro v0.3.31
   Compiling tracing-attributes v0.1.31
   Compiling serde_derive v1.0.228
   Compiling zerofrom-derive v0.1.6
   Compiling displaydoc v0.2.5
   Compiling yoke-derive v0.8.1
   Compiling zerovec-derive v0.11.2
   Compiling zeroize v1.8.2
   Compiling tokio v1.49.0
   Compiling futures-util v0.3.31
   Compiling rustls-pki-types v1.14.0
   Compiling der v0.6.1
   Compiling webpki-roots v1.0.6
   Compiling crypto-common v0.1.7
   Compiling block-buffer v0.10.4
   Compiling crypto-bigint v0.5.5
   Compiling tracing v0.1.44
   Compiling zerofrom v0.1.6
   Compiling rustls-native-certs v0.8.4
   Compiling digest v0.10.7
   Compiling crypto-bigint v0.4.9
   Compiling yoke v0.8.1
   Compiling hmac v0.12.1
   Compiling sha2 v0.10.9
   Compiling zerovec v0.11.5
   Compiling zerotrie v0.2.3
   Compiling signature v1.6.4
   Compiling thiserror-impl v2.0.18
   Compiling spki v0.6.0
   Compiling pkcs8 v0.9.0
   Compiling sec1 v0.3.0
   Compiling rfc6979 v0.3.1
   Compiling der v0.7.10
   Compiling inout v0.1.4
   Compiling thiserror-impl v1.0.69
   Compiling tinystr v0.8.2
   Compiling potential_utf v0.1.4
   Compiling cipher v0.4.4
   Compiling icu_collections v2.1.1
   Compiling elliptic-curve v0.12.3
   Compiling sha1 v0.10.6
   Compiling icu_locale_core v2.1.1
   Compiling signature v2.2.0
   Compiling curve25519-dalek-derive v0.1.1
   Compiling hkdf v0.12.4
   Compiling async-trait v0.1.89
   Compiling ecdsa v0.14.8
   Compiling flate2 v1.1.9
   Compiling p256 v0.11.1
   Compiling dbl v0.3.2
   Compiling aes v0.8.4
   Compiling cmac v0.7.2
   Compiling zip v3.0.0
   Compiling ctr v0.9.2
   Compiling spki v0.7.3
   Compiling tungstenite v0.29.0
   Compiling icu_provider v2.1.1
   Compiling pkcs8 v0.10.2
   Compiling rfc6979 v0.4.0
   Compiling aead v0.5.2
   Compiling asn1-rs-derive v0.6.0
   Compiling icu_properties v2.1.2
   Compiling icu_normalizer v2.1.1
   Compiling sec1 v0.7.3
   Compiling asn1-rs-impl v0.2.0
   Compiling aes-siv v0.7.0
   Compiling md-5 v0.10.6
   Compiling elliptic-curve v0.13.8
   Compiling futures-executor v0.3.31
   Compiling axum-core v0.5.6
   Compiling matchers v0.2.0
   Compiling rust-embed-impl v8.12.0
   Compiling utoipa-gen v5.5.0
   Compiling futures v0.3.31
   Compiling pkcs1 v0.7.5
   Compiling asn1-rs v0.7.2
   Compiling primeorder v0.13.6
   Compiling ecdsa v0.16.9
   Compiling ed25519 v2.2.3
   Compiling serde_urlencoded v0.7.1
   Compiling chrono v0.4.44
   Compiling tracing-serde v0.2.0
   Compiling cargo_metadata v0.23.1
   Compiling serde_spanned v0.6.9
   Compiling tracing-subscriber v0.3.22
   Compiling toml_datetime v0.6.11
   Compiling idna_adapter v1.2.1
   Compiling rust-embed v8.12.0
   Compiling idna v1.1.0
   Compiling prost-derive v0.13.5
   Compiling toml_parser v1.1.3+spec-1.1.0
   Compiling tokio-util v0.7.18
   Compiling aws-smithy-async v1.2.14
   Compiling url v2.5.8
   Compiling tokio-tungstenite v0.29.0
   Compiling schemars_derive v0.8.22
   Compiling clap_derive v4.5.49
   Compiling clap_builder v4.5.54
   Compiling ed25519 v3.0.0
   Compiling phf v0.11.3
   Compiling h2 v0.4.15
   Compiling tower v0.5.3
   Compiling aws-smithy-types v1.4.5
   Compiling h2 v0.3.27
   Compiling utoipa-swagger-ui v9.0.2
   Compiling num-rational v0.4.2
   Compiling serde_spanned v1.1.1
   Compiling toml_datetime v0.7.5+spec-1.1.0
   Compiling tower-http v0.6.8
   Compiling aws-smithy-runtime-api v1.11.5
   Compiling aws-smithy-eventstream v0.60.19
   Compiling aws-smithy-json v0.62.4
   Compiling aws-smithy-query v0.60.14
   Compiling num-complex v0.4.6
   Compiling ahash v0.8.12
   Compiling winnow v0.5.40
   Compiling dyn-clone v1.0.20
   Compiling fixedbitset v0.5.7
   Compiling constant_time_eq v0.4.2
   Compiling arrayvec v0.7.8
   Compiling bit-vec v0.6.3
   Compiling winnow v0.7.15
   Compiling arrayref v0.3.9
   Compiling toml_writer v1.1.2+spec-1.1.0
